symbol,funding_time,datetime_utc,datetime_kst,funding_rate,mark_price
BNBUSDT,1785542400001,2026-08-01 00:00:00,2026-08-01 09:00:00,0.00001396,
BNBUSDT,1785571200000,2026-08-01 08:00:00,2026-08-01 17:00:00,0.00005477,
BNBUSDT,1785600000000,2026-08-01 16:00:00,2026-08-02 01:00:00,0.00009812,
BNBUSDT,1785628800000,2026-08-02 00:00:00,2026-08-02 09:00:00,0.00006616,
BNBUSDT,1785657600000,2026-08-02 08:00:00,2026-08-02 17:00:00,0.00006611,
BNBUSDT,1785686400000,2026-08-02 16:00:00,2026-08-03 01:00:00,0.0000851,
BNBUSDT,1785715200000,2026-08-03 00:00:00,2026-08-03 09:00:00,0.00015493,
BNBUSDT,1785744000000,2026-08-03 08:00:00,2026-08-03 17:00:00,0.00005941,
BNBUSDT,1785772800000,2026-08-03 16:00:00,2026-08-04 01:00:00,0.000098,
BNBUSDT,1785801600004,2026-08-04 00:00:00,2026-08-04 09:00:00,0.00011987,
BNBUSDT,1785830400002,2026-08-04 08:00:00,2026-08-04 17:00:00,0.00002499,
BNBUSDT,1785859200000,2026-08-04 16:00:00,2026-08-05 01:00:00,0.00003091,
BNBUSDT,1785888000003,2026-08-05 00:00:00,2026-08-05 09:00:00,0.00000817,
BNBUSDT,1785916800004,2026-08-05 08:00:00,2026-08-05 17:00:00,0.00002061,
BNBUSDT,1785945600000,2026-08-05 16:00:00,2026-08-06 01:00:00,0.00001565,
BNBUSDT,1785974400002,2026-08-06 00:00:00,2026-08-06 09:00:00,0,
BNBUSDT,1786003200000,2026-08-06 08:00:00,2026-08-06 17:00:00,0,
BNBUSDT,1786032000000,2026-08-06 16:00:00,2026-08-07 01:00:00,0,
BNBUSDT,1786060800000,2026-08-07 00:00:00,2026-08-07 09:00:00,0,
BNBUSDT,1786089600000,2026-08-07 08:00:00,2026-08-07 17:00:00,0,
BNBUSDT,1786118400000,2026-08-07 16:00:00,2026-08-08 01:00:00,0.00002042,
BNBUSDT,1786147200001,2026-08-08 00:00:00,2026-08-08 09:00:00,0.00002913,
BNBUSDT,1786176000000,2026-08-08 08:00:00,2026-08-08 17:00:00,0.00006062,
BNBUSDT,1786204800002,2026-08-08 16:00:00,2026-08-09 01:00:00,0.00008649,
BNBUSDT,1786233600000,2026-08-09 00:00:00,2026-08-09 09:00:00,0.00003867,
BNBUSDT,1786262400005,2026-08-09 08:00:00,2026-08-09 17:00:00,0.00002556,
BNBUSDT,1786291200000,2026-08-09 16:00:00,2026-08-10 01:00:00,0.00011833,
BNBUSDT,1786320000001,2026-08-10 00:00:00,2026-08-10 09:00:00,0.00011836,
BNBUSDT,1786348800005,2026-08-10 08:00:00,2026-08-10 17:00:00,0.00004224,
BNBUSDT,1786377600000,2026-08-10 16:00:00,2026-08-11 01:00:00,0.00010793,
BNBUSDT,1786406400000,2026-08-11 00:00:00,2026-08-11 09:00:00,0.00007867,
BNBUSDT,1786435200006,2026-08-11 08:00:00,2026-08-11 17:00:00,0.00006203,
BNBUSDT,1786464000000,2026-08-11 16:00:00,2026-08-12 01:00:00,0.00008918,
BNBUSDT,1786492800001,2026-08-12 00:00:00,2026-08-12 09:00:00,0.0000108,
BNBUSDT,1786521600000,2026-08-12 08:00:00,2026-08-12 17:00:00,0.00007907,
BNBUSDT,1786550400000,2026-08-12 16:00:00,2026-08-13 01:00:00,0,
BNBUSDT,1786579200000,2026-08-13 00:00:00,2026-08-13 09:00:00,0,
BNBUSDT,1786608000000,2026-08-13 08:00:00,2026-08-13 17:00:00,0,
BNBUSDT,1786636800000,2026-08-13 16:00:00,2026-08-14 01:00:00,0,
BNBUSDT,1786665600000,2026-08-14 00:00:00,2026-08-14 09:00:00,0,
BNBUSDT,1786694400001,2026-08-14 08:00:00,2026-08-14 17:00:00,0,
BNBUSDT,1786723200001,2026-08-14 16:00:00,2026-08-15 01:00:00,0,
BNBUSDT,1786752000003,2026-08-15 00:00:00,2026-08-15 09:00:00,0,
BNBUSDT,1786780800002,2026-08-15 08:00:00,2026-08-15 17:00:00,0.00004271,
BNBUSDT,1786809600000,2026-08-15 16:00:00,2026-08-16 01:00:00,0,
BNBUSDT,1786838400000,2026-08-16 00:00:00,2026-08-16 09:00:00,0.00000129,
BNBUSDT,1786867200002,2026-08-16 08:00:00,2026-08-16 17:00:00,0,
BNBUSDT,1786896000000,2026-08-16 16:00:00,2026-08-17 01:00:00,0,
BNBUSDT,1786924800001,2026-08-17 00:00:00,2026-08-17 09:00:00,0,
BNBUSDT,1786953600003,2026-08-17 08:00:00,2026-08-17 17:00:00,0,
BNBUSDT,1786982400005,2026-08-17 16:00:00,2026-08-18 01:00:00,0.00001602,
BNBUSDT,1787011200006,2026-08-18 00:00:00,2026-08-18 09:00:00,0.00004724,
BNBUSDT,1787040000001,2026-08-18 08:00:00,2026-08-18 17:00:00,0.00001077,
BNBUSDT,1787068800003,2026-08-18 16:00:00,2026-08-19 01:00:00,0.0000056,
BNBUSDT,1787097600000,2026-08-19 00:00:00,2026-08-19 09:00:00,0.00002362,
BNBUSDT,1787126400000,2026-08-19 08:00:00,2026-08-19 17:00:00,0.00002314,
BNBUSDT,1787155200004,2026-08-19 16:00:00,2026-08-20 01:00:00,0.00002929,
BNBUSDT,1787184000001,2026-08-20 00:00:00,2026-08-20 09:00:00,0.00021922,
BNBUSDT,1787212800000,2026-08-20 08:00:00,2026-08-20 17:00:00,0.00006818,
BNBUSDT,1787241600005,2026-08-20 16:00:00,2026-08-21 01:00:00,0,
BNBUSDT,1787270400004,2026-08-21 00:00:00,2026-08-21 09:00:00,0.00015178,
BNBUSDT,1787299200000,2026-08-21 08:00:00,2026-08-21 17:00:00,0.00002448,
BNBUSDT,1787328000001,2026-08-21 16:00:00,2026-08-22 01:00:00,0.00021317,
BNBUSDT,1787356800000,2026-08-22 00:00:00,2026-08-22 09:00:00,0.00023005,
BNBUSDT,1787385600000,2026-08-22 08:00:00,2026-08-22 17:00:00,0.00032423,
BNBUSDT,1787414400000,2026-08-22 16:00:00,2026-08-23 01:00:00,0.00018909,
BNBUSDT,1787443200000,2026-08-23 00:00:00,2026-08-23 09:00:00,0.00020804,
BNBUSDT,1787472000000,2026-08-23 08:00:00,2026-08-23 17:00:00,0.0001553,
BNBUSDT,1787500800006,2026-08-23 16:00:00,2026-08-24 01:00:00,0,
BNBUSDT,1787529600001,2026-08-24 00:00:00,2026-08-24 09:00:00,0.00009681,
BNBUSDT,1787558400002,2026-08-24 08:00:00,2026-08-24 17:00:00,0.00000134,
BNBUSDT,1787587200000,2026-08-24 16:00:00,2026-08-25 01:00:00,0.00002642,
BNBUSDT,1787616000001,2026-08-25 00:00:00,2026-08-25 09:00:00,0,
BNBUSDT,1787644800000,2026-08-25 08:00:00,2026-08-25 17:00:00,0.00007358,
BNBUSDT,1787673600005,2026-08-25 16:00:00,2026-08-26 01:00:00,0,
BNBUSDT,1787702400000,2026-08-26 00:00:00,2026-08-26 09:00:00,0,
BNBUSDT,1787731200005,2026-08-26 08:00:00,2026-08-26 17:00:00,0,
BNBUSDT,1787760000000,2026-08-26 16:00:00,2026-08-27 01:00:00,0.00001995,
BNBUSDT,1787788800000,2026-08-27 00:00:00,2026-08-27 09:00:00,0.00008233,
BNBUSDT,1787817600000,2026-08-27 08:00:00,2026-08-27 17:00:00,0.00001213,
BNBUSDT,1787846400013,2026-08-27 16:00:00,2026-08-28 01:00:00,0.00004706,
BNBUSDT,1787875200026,2026-08-28 00:00:00,2026-08-28 09:00:00,0,
BNBUSDT,1787904000000,2026-08-28 08:00:00,2026-08-28 17:00:00,0.0000218,
BNBUSDT,1787932800001,2026-08-28 16:00:00,2026-08-29 01:00:00,0,
BNBUSDT,1787961600000,2026-08-29 00:00:00,2026-08-29 09:00:00,0,
BNBUSDT,1787990400000,2026-08-29 08:00:00,2026-08-29 17:00:00,0,
BNBUSDT,1788019200002,2026-08-29 16:00:00,2026-08-30 01:00:00,0,
BNBUSDT,1788048000000,2026-08-30 00:00:00,2026-08-30 09:00:00,0,
BNBUSDT,1788076800000,2026-08-30 08:00:00,2026-08-30 17:00:00,0.00003789,
BNBUSDT,1788105600001,2026-08-30 16:00:00,2026-08-31 01:00:00,0,
BNBUSDT,1788134400002,2026-08-31 00:00:00,2026-08-31 09:00:00,0.00000088,
BNBUSDT,1788163200002,2026-08-31 08:00:00,2026-08-31 17:00:00,0,
BNBUSDT,1788192000001,2026-08-31 16:00:00,2026-09-01 01:00:00,0,
