symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume
BNBUSDT,1754006400000,2025-08-01 00:00:00,2025-08-01 09:00:00,783.13,783.78,782.33,782.76,898.967,703951.94048
BNBUSDT,1754006700000,2025-08-01 00:05:00,2025-08-01 09:05:00,782.76,785.27,782.76,784.37,695.048,545134.0973
BNBUSDT,1754007000000,2025-08-01 00:10:00,2025-08-01 09:10:00,784.36,784.88,780.1,781.2,3105.317,2428284.70532
BNBUSDT,1754007300000,2025-08-01 00:15:00,2025-08-01 09:15:00,781.21,787.26,780.49,786.99,1982.189,1552707.64133
BNBUSDT,1754007600000,2025-08-01 00:20:00,2025-08-01 09:20:00,786.98,788,785.88,786.2,1082.907,852134.53672
BNBUSDT,1754007900000,2025-08-01 00:25:00,2025-08-01 09:25:00,786.19,786.26,782.73,783.76,876.866,687421.11564
BNBUSDT,1754008200000,2025-08-01 00:30:00,2025-08-01 09:30:00,783.73,784.65,781.56,781.67,1014.371,794690.27737
BNBUSDT,1754008500000,2025-08-01 00:35:00,2025-08-01 09:35:00,781.66,785.41,781.19,785.41,1907.175,1493945.09302
BNBUSDT,1754008800000,2025-08-01 00:40:00,2025-08-01 09:40:00,785.45,785.8,781.1,782.07,1644.264,1286950.88124
BNBUSDT,1754009100000,2025-08-01 00:45:00,2025-08-01 09:45:00,782.06,782.58,779.11,779.66,2266.835,1768556.48086
BNBUSDT,1754009400000,2025-08-01 00:50:00,2025-08-01 09:50:00,779.66,783.09,774.68,782.87,5719.626,4446857.1103
BNBUSDT,1754009700000,2025-08-01 00:55:00,2025-08-01 09:55:00,782.86,789.07,782.77,788.48,3785.059,2977127.59347
BNBUSDT,1754010000000,2025-08-01 01:00:00,2025-08-01 10:00:00,788.47,790.6,787.12,787.5,2812.565,2219062.1163
BNBUSDT,1754010300000,2025-08-01 01:05:00,2025-08-01 10:05:00,787.5,788.77,784.3,785.8,1669.717,1312903.63825
BNBUSDT,1754010600000,2025-08-01 01:10:00,2025-08-01 10:10:00,785.8,786.2,782.14,783.09,1467.113,1150704.42921
BNBUSDT,1754010900000,2025-08-01 01:15:00,2025-08-01 10:15:00,783.09,786.13,781.2,782.86,1731.797,1356756.01669
BNBUSDT,1754011200000,2025-08-01 01:20:00,2025-08-01 10:20:00,782.88,786.73,782.88,785.55,1846.361,1449028.13613
BNBUSDT,1754011500000,2025-08-01 01:25:00,2025-08-01 10:25:00,785.55,788,785.1,785.96,1200.923,944351.84597
BNBUSDT,1754011800000,2025-08-01 01:30:00,2025-08-01 10:30:00,785.96,786.5,783.25,784.3,2363.517,1853747.29729
BNBUSDT,1754012100000,2025-08-01 01:35:00,2025-08-01 10:35:00,784.3,789.45,783.9,787.06,1825.195,1437684.69236
BNBUSDT,1754012400000,2025-08-01 01:40:00,2025-08-01 10:40:00,787.07,788.84,786.3,786.45,730.704,575292.85356
BNBUSDT,1754012700000,2025-08-01 01:45:00,2025-08-01 10:45:00,786.46,787.67,784.11,784.94,781.98,614719.26138
BNBUSDT,1754013000000,2025-08-01 01:50:00,2025-08-01 10:50:00,784.93,787.96,783.85,786.56,841.765,661362.67389
BNBUSDT,1754013300000,2025-08-01 01:55:00,2025-08-01 10:55:00,786.57,787.49,784.38,787.3,689.221,541664.34236
BNBUSDT,1754013600000,2025-08-01 02:00:00,2025-08-01 11:00:00,787.3,788.98,786.15,786.21,1047.88,825548.31861
BNBUSDT,1754013900000,2025-08-01 02:05:00,2025-08-01 11:05:00,786.21,789.8,786.05,788.65,776.688,612447.62575
BNBUSDT,1754014200000,2025-08-01 02:10:00,2025-08-01 11:10:00,788.66,793.06,788.66,792.68,1542.17,1220504.79639
BNBUSDT,1754014500000,2025-08-01 02:15:00,2025-08-01 11:15:00,792.66,794.41,791.48,794.11,1339.697,1062432.3545
BNBUSDT,1754014800000,2025-08-01 02:20:00,2025-08-01 11:20:00,794.11,795.4,793.87,794.55,1600.809,1272082.00912
BNBUSDT,1754015100000,2025-08-01 02:25:00,2025-08-01 11:25:00,794.55,794.85,791.55,791.56,5626.139,4462729.07585
BNBUSDT,1754015400000,2025-08-01 02:30:00,2025-08-01 11:30:00,791.57,791.86,788.73,789.31,3593.934,2838636.50396
BNBUSDT,1754015700000,2025-08-01 02:35:00,2025-08-01 11:35:00,789.31,789.48,788.31,788.45,2106.43,1661852.35816
BNBUSDT,1754016000000,2025-08-01 02:40:00,2025-08-01 11:40:00,788.46,790,786.5,786.64,2173.512,1713220.17998
BNBUSDT,1754016300000,2025-08-01 02:45:00,2025-08-01 11:45:00,786.64,788.99,786.22,788.52,1690.27,1330812.96744
BNBUSDT,1754016600000,2025-08-01 02:50:00,2025-08-01 11:50:00,788.52,789.27,787,787.73,1871.559,1474549.06695
BNBUSDT,1754016900000,2025-08-01 02:55:00,2025-08-01 11:55:00,787.73,788.52,787.1,788.12,1462.267,1152167.70743
BNBUSDT,1754017200000,2025-08-01 03:00:00,2025-08-01 12:00:00,788.13,789.04,784.48,784.71,2002.796,1575578.70094
BNBUSDT,1754017500000,2025-08-01 03:05:00,2025-08-01 12:05:00,784.72,785.5,783.37,783.69,1177.538,923959.13307
BNBUSDT,1754017800000,2025-08-01 03:10:00,2025-08-01 12:10:00,783.7,784.47,783.41,783.55,1117.064,875596.81367
BNBUSDT,1754018100000,2025-08-01 03:15:00,2025-08-01 12:15:00,783.55,785.36,783.35,784.71,1148.226,900633.58157
BNBUSDT,1754018400000,2025-08-01 03:20:00,2025-08-01 12:20:00,784.71,786.84,784.7,785.58,1242.42,976490.48708
BNBUSDT,1754018700000,2025-08-01 03:25:00,2025-08-01 12:25:00,785.58,786.97,784.77,786.26,900.31,707649.32558
BNBUSDT,1754019000000,2025-08-01 03:30:00,2025-08-01 12:30:00,786.27,786.88,784.7,785.1,964.783,758212.24652
BNBUSDT,1754019300000,2025-08-01 03:35:00,2025-08-01 12:35:00,785.09,785.47,783.78,784.82,1420.511,1114331.54324
BNBUSDT,1754019600000,2025-08-01 03:40:00,2025-08-01 12:40:00,784.82,784.87,783.01,783.31,1259.302,987050.19498
BNBUSDT,1754019900000,2025-08-01 03:45:00,2025-08-01 12:45:00,783.31,784.86,782.62,783.09,1446.441,1133392.38108
BNBUSDT,1754020200000,2025-08-01 03:50:00,2025-08-01 12:50:00,783.1,783.2,782.08,783.2,839.521,657008.19906
BNBUSDT,1754020500000,2025-08-01 03:55:00,2025-08-01 12:55:00,783.2,784.57,782.75,783.88,684.475,536248.59132
BNBUSDT,1754020800000,2025-08-01 04:00:00,2025-08-01 13:00:00,783.88,784.18,782.45,782.54,730.82,572412.19773
BNBUSDT,1754021100000,2025-08-01 04:05:00,2025-08-01 13:05:00,782.53,782.8,780.83,781.7,2308.056,1804242.91712
BNBUSDT,1754021400000,2025-08-01 04:10:00,2025-08-01 13:10:00,781.7,781.96,778.89,780.92,2092.238,1632528.57094
BNBUSDT,1754021700000,2025-08-01 04:15:00,2025-08-01 13:15:00,780.92,781.4,778.5,779.58,974.824,760055.14416
BNBUSDT,1754022000000,2025-08-01 04:20:00,2025-08-01 13:20:00,779.58,780.1,779.01,779.73,529.026,412432.58155
BNBUSDT,1754022300000,2025-08-01 04:25:00,2025-08-01 13:25:00,779.74,780.6,779.26,779.59,654.644,510594.45746
BNBUSDT,1754022600000,2025-08-01 04:30:00,2025-08-01 13:30:00,779.56,781.2,778.61,781.2,696.081,542732.28317
BNBUSDT,1754022900000,2025-08-01 04:35:00,2025-08-01 13:35:00,781.19,782.09,780.33,780.49,656.629,512894.9398
BNBUSDT,1754023200000,2025-08-01 04:40:00,2025-08-01 13:40:00,780.49,781.49,779.76,780.9,603.353,471028.11564
BNBUSDT,1754023500000,2025-08-01 04:45:00,2025-08-01 13:45:00,780.89,781.38,779.41,780.33,298.74,233110.64948
BNBUSDT,1754023800000,2025-08-01 04:50:00,2025-08-01 13:50:00,780.34,780.96,779.41,780.16,830.614,648010.00717
