symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta
BTCUSDT,1756684800000,2025-09-01 00:00:00,2025-09-01 09:00:00,108208.4,108295.8,108056.9,108056.9,475.249,51420593.4683,11079,183.637,19872507.053,89832.067,9720584238.76280022,-107.975,0.447,-53.5405,54.4345
BTCUSDT,1756685100000,2025-09-01 00:05:00,2025-09-01 09:05:00,108057,108121.2,107926.2,107953.1,1556.386,168102245.49559999,23362,496.471,53627619.0347,89853.66,9709361865.45000076,-563.444,21.593,-260.129,303.315
BTCUSDT,1756685400000,2025-09-01 00:10:00,2025-09-01 09:10:00,107953.2,108024.2,107927.3,107927.3,549.839,59363935.8735,11245,324.08,34990704.0031,89662.384,9680666895.36587524,98.321,-191.276,-142.1155,-240.4365
BTCUSDT,1756685700000,2025-09-01 00:15:00,2025-09-01 09:15:00,107927.3,108043.6,107877,107900.4,702.04,75772637.45819999,13485,296.401,31993953.7032,89577.879,9668159464.16436768,-109.238,-84.505,-139.124,-29.886
BTCUSDT,1756686000000,2025-09-01 00:20:00,2025-09-01 09:20:00,107900.4,107931.9,107662.7,107724.1,1049.235,113103371.0897,19849,309.358,33343556.1537,89508.075,9657957095.72999954,-430.519,-69.804,-285.0635,145.4555
BTCUSDT,1756686300000,2025-09-01 00:25:00,2025-09-01 09:25:00,107724.1,107835.3,107588,107780.1,1555.655,167510074.72060001,24722,927.103,99833352.84810001,89459.168,9636702603.46240044,298.551,-48.907,100.3685,-198.1825
BTCUSDT,1756686600000,2025-09-01 00:30:00,2025-09-01 09:30:00,107780.1,107875,107639.5,107736.4,676.852,72948315.21950001,17132,458.121,49376584.9076,89289.585,9624902401.13603401,239.39,-169.583,-49.888,-289.278
BTCUSDT,1756686900000,2025-09-01 00:35:00,2025-09-01 09:35:00,107736.4,107799,107624.6,107728.1,425.155,45797492.3805,13851,222.598,23978705.4869,89397.814,9631380768.66679955,20.041,108.229,118.2495,98.2085
BTCUSDT,1756687200000,2025-09-01 00:40:00,2025-09-01 09:40:00,107728.2,108182.6,107718.5,108129.6,1412.002,152578394.3382,22902,799.101,86327614.212,89422.724,9633349095.61680031,186.2,24.91,118.01,-68.19
BTCUSDT,1756687500000,2025-09-01 00:45:00,2025-09-01 09:45:00,108129.6,108372.5,108081.2,108129.6,772.094,83560003.73469999,18836,432.893,46850892.4902,89484.253,9675887534.76350021,93.692,61.529,108.375,14.683
BTCUSDT,1756687800000,2025-09-01 00:50:00,2025-09-01 09:50:00,108129.6,108324,108028.6,108288.4,473.389,51219716.7873,11689,293.799,31792783.664,89454.289,9672048198.68919945,114.209,-29.964,27.1405,-87.0685
BTCUSDT,1756688100000,2025-09-01 00:55:00,2025-09-01 09:55:00,108288.4,108350,108172,108180.1,344.891,37337885.9897,8241,148.708,16100653.4888,89505.386,9692386090.78380013,-47.475,51.097,27.3595,74.8345
BTCUSDT,1756688400000,2025-09-01 01:00:00,2025-09-01 10:00:00,108180,108323.8,108105,108226.1,603.251,65259760.5752,13303,280.892,30386194.5715,89523.372,9684647335.29719925,-41.467,17.986,-2.7475,38.7195
BTCUSDT,1756688700000,2025-09-01 01:05:00,2025-09-01 10:05:00,108226.1,108300,107981.9,107991.1,473.931,51254552.6266,12564,229.942,24876542.559,89596.167,9696643729.3586998,-14.047,72.795,65.7715,79.8185
BTCUSDT,1756689000000,2025-09-01 01:10:00,2025-09-01 10:10:00,107991.1,108110.8,107917.3,108096.8,251.829,27200282.7494,8851,101.079,10917901.3453,89624.092,9679384011.18160057,-49.671,27.925,3.0895,52.7605
BTCUSDT,1756689300000,2025-09-01 01:15:00,2025-09-01 10:15:00,108096.7,108243.8,107961.4,108146.8,323.277,34951164.262,11088,173.269,18734718.4573,89640.339,9690293561.13953972,23.261,16.247,27.8775,4.6165
BTCUSDT,1756689600000,2025-09-01 01:20:00,2025-09-01 10:20:00,108146.7,108220,108090.5,108099.2,244.906,26486143.6006,9498,131.984,14273520.7401,89652.789,9695653276.14629936,19.062,12.45,21.981,2.919
BTCUSDT,1756689900000,2025-09-01 01:25:00,2025-09-01 10:25:00,108099.2,108252.9,108083.4,108200,170.87,18488164.4821,7576,86.369,9345041.5464,89684.877,9694863455.79840088,1.868,32.088,33.022,31.154
BTCUSDT,1756690200000,2025-09-01 01:30:00,2025-09-01 10:30:00,108200.1,108266,108010.4,108079,350.947,37949969.359,12409,149.177,16130784.9404,89685.565,9703987101.55649948,-52.593,0.688,-25.6085,26.9845
BTCUSDT,1756690500000,2025-09-01 01:35:00,2025-09-01 10:35:00,108079,108200,108010,108155.4,292.517,31621980.7341,10660,202.196,21856237.2093,89648.234,9689091482.48600006,111.875,-37.331,18.6065,-93.2685
BTCUSDT,1756690800000,2025-09-01 01:40:00,2025-09-01 10:40:00,108155.4,108261.5,108089.2,108261.5,174.031,18825659.7276,6953,105.355,11397234.9615,89606.474,9691593078.07510948,36.679,-41.76,-23.4205,-60.0995
