symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume
BTCUSDT,1772323200000,2026-03-01 00:00:00,2026-03-01 09:00:00,66973.26,67121.8,66953.63,67038.82,131.15604,8789022.7965913
BTCUSDT,1772323500000,2026-03-01 00:05:00,2026-03-01 09:05:00,67038.83,67050.06,66812.18,66832.48,74.80103,5009977.0785409
BTCUSDT,1772323800000,2026-03-01 00:10:00,2026-03-01 09:10:00,66832.47,66913.18,66827.99,66913.18,32.85927,2197301.4741581
BTCUSDT,1772324100000,2026-03-01 00:15:00,2026-03-01 09:15:00,66913.17,66930.69,66847.12,66864.05,42.47168,2840548.1798633
BTCUSDT,1772324400000,2026-03-01 00:20:00,2026-03-01 09:20:00,66864.04,67024.42,66864.04,66946.62,30.5842,2047379.0346865
BTCUSDT,1772324700000,2026-03-01 00:25:00,2026-03-01 09:25:00,66946.62,66957.83,66766.24,66778.32,32.57708,2177066.4416699
BTCUSDT,1772325000000,2026-03-01 00:30:00,2026-03-01 09:30:00,66778.32,66827.26,66704.95,66722.6,44.5181,2972123.5881415
BTCUSDT,1772325300000,2026-03-01 00:35:00,2026-03-01 09:35:00,66722.61,66813.36,66722.61,66738.92,40.08331,2676606.9812663
BTCUSDT,1772325600000,2026-03-01 00:40:00,2026-03-01 09:40:00,66738.93,66764.67,66620.5,66640.71,35.39947,2360166.9818545
BTCUSDT,1772325900000,2026-03-01 00:45:00,2026-03-01 09:45:00,66640.71,66778,66637.49,66705.95,41.7125,2782132.5366221
BTCUSDT,1772326200000,2026-03-01 00:50:00,2026-03-01 09:50:00,66705.95,66862.18,66689.83,66845.53,29.46225,1967416.7555006
BTCUSDT,1772326500000,2026-03-01 00:55:00,2026-03-01 09:55:00,66845.53,66872.17,66778.4,66791.29,24.72701,1652413.9601248
BTCUSDT,1772326800000,2026-03-01 01:00:00,2026-03-01 10:00:00,66791.29,66792.25,66585.33,66595,63.90976,4259861.9900869
BTCUSDT,1772327100000,2026-03-01 01:05:00,2026-03-01 10:05:00,66595,66676.05,66458.33,66460.51,81.82469,5445382.6529878
BTCUSDT,1772327400000,2026-03-01 01:10:00,2026-03-01 10:10:00,66460.51,66529.13,66184.61,66303.12,228.32271,15138250.1221109
BTCUSDT,1772327700000,2026-03-01 01:15:00,2026-03-01 10:15:00,66303.12,66313.6,66042.72,66197.86,96.22902,6365705.3621976
BTCUSDT,1772328000000,2026-03-01 01:20:00,2026-03-01 10:20:00,66197.87,66453.64,66197.87,66415.41,82.59324,5478349.4391118
BTCUSDT,1772328300000,2026-03-01 01:25:00,2026-03-01 10:25:00,66415.41,66439.94,66331.78,66351.03,41.29759,2741585.0925696
BTCUSDT,1772328600000,2026-03-01 01:30:00,2026-03-01 10:30:00,66351.03,66593.97,66290.42,66534.48,80.8604,5374420.2580058
BTCUSDT,1772328900000,2026-03-01 01:35:00,2026-03-01 10:35:00,66534.48,66774.99,66534.47,66665.61,66.64029,4441413.8503677
BTCUSDT,1772329200000,2026-03-01 01:40:00,2026-03-01 10:40:00,66665.61,66751.11,66624.28,66626.57,82.82056,5522879.1889343
BTCUSDT,1772329500000,2026-03-01 01:45:00,2026-03-01 10:45:00,66626.56,67380.06,66621.83,67340.16,268.48419,18003113.1898028
BTCUSDT,1772329800000,2026-03-01 01:50:00,2026-03-01 10:50:00,67341.55,67703.32,67294.5,67364.17,437.93687,29547355.9733087
BTCUSDT,1772330100000,2026-03-01 01:55:00,2026-03-01 10:55:00,67364.18,67364.18,67194.13,67339.36,99.27096,6677026.7148034
BTCUSDT,1772330400000,2026-03-01 02:00:00,2026-03-01 11:00:00,67339.36,68199.99,67339.36,68018,508.64132,34523321.1305115
BTCUSDT,1772330700000,2026-03-01 02:05:00,2026-03-01 11:05:00,68018.01,68116.73,67688,67767.99,217.39539,14777718.5742269
BTCUSDT,1772331000000,2026-03-01 02:10:00,2026-03-01 11:10:00,67768,67984.33,67717.78,67895.95,122.29061,8300075.9381421
BTCUSDT,1772331300000,2026-03-01 02:15:00,2026-03-01 11:15:00,67895.95,68093.1,67736.72,67779.99,113.34102,7692454.706617
BTCUSDT,1772331600000,2026-03-01 02:20:00,2026-03-01 11:20:00,67780,67802.63,67610.75,67640.98,137.94462,9337849.3075155
BTCUSDT,1772331900000,2026-03-01 02:25:00,2026-03-01 11:25:00,67640.99,67806.37,67618.14,67764.51,118.6654,8034457.6260828
BTCUSDT,1772332200000,2026-03-01 02:30:00,2026-03-01 11:30:00,67764.51,67867.56,67660,67850.33,58.36198,3955149.2322445
BTCUSDT,1772332500000,2026-03-01 02:35:00,2026-03-01 11:35:00,67850.32,67956.45,67791.9,67802.79,84.03405,5702946.2833093
BTCUSDT,1772332800000,2026-03-01 02:40:00,2026-03-01 11:40:00,67802.78,68101.42,67769.17,68072.53,134.5654,9148338.5000767
BTCUSDT,1772333100000,2026-03-01 02:45:00,2026-03-01 11:45:00,68072.54,68166,67733.63,67755.41,243.5688,16541327.6532008
