symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta,top_acc_ls_ratio,top_pos_ls_ratio,global_acc_ls_ratio,taker_ls_vol_ratio
DOGEUSDT,1780272000000,2026-06-01 00:00:00,2026-06-01 09:00:00,0.10039,0.10081,0.10037,0.10072,24848776,2498782.22281,5452,11681844,1174696.79077,2265948090,227470235.38509059,-1485088,2217499,1474955,2960043,3.1927952,2.421542,2.65339893,0.84593
DOGEUSDT,1780272300000,2026-06-01 00:05:00,2026-06-01 09:05:00,0.10073,0.10076,0.1005,0.10054,16239601,1634054.34484,4109,5660415,569553.98147,2268165589,228495001.43586001,-4918771,-144522,-2603907.5,2314863.5,3.19225634,2.435789,2.65264853,0.887176
DOGEUSDT,1780272600000,2026-06-01 00:10:00,2026-06-01 09:10:00,0.10053,0.10061,0.10041,0.10055,11398892,1145312.21568,2625,2823012,283712.48698,2268021067,228017765.99191201,-5752868,-1232633,-4109067,1643801,3.20401674,2.447516,2.65708401,0.535043
DOGEUSDT,1780272900000,2026-06-01 00:15:00,2026-06-01 09:15:00,0.10055,0.10061,0.10025,0.10028,10138250,1018039.01813,3045,4350740,436927.22704,2266788434,227898239.57018596,-1436770,685707,-32678,1404092,3.20421828,2.442586,2.65702516,0.329286
DOGEUSDT,1780273200000,2026-06-01 00:20:00,2026-06-01 09:20:00,0.10027,0.10055,0.10025,0.10051,6770639,680055.47288,2504,3605298,362091.92674,2267474141,227359632.11807001,439957,488180,708158.5,268201.5,3.21069393,2.445239,2.65804083,0.751798
DOGEUSDT,1780273500000,2026-06-01 00:25:00,2026-06-01 09:25:00,0.1005,0.10072,0.1005,0.10068,8912830,897015.14681,2280,4725869,475633.84789,2267962321,227938718.11920375,538908,855533,1124987,586079,3.21173512,2.445124,2.65706103,1.138856
DOGEUSDT,1780273800000,2026-06-01 00:30:00,2026-06-01 09:30:00,0.10069,0.10089,0.10062,0.10081,24708251,2489739.46294,4324,14960946,1507879.44842,2268817854,228447269.71926001,5213641,-1516442,1090378.5,-4123262.5,3.21082621,2.449412,2.65691275,1.128749
DOGEUSDT,1780274100000,2026-06-01 00:35:00,2026-06-01 09:35:00,0.10081,0.10095,0.10075,0.10079,11460464,1155842.25698,2972,6319019,637404.73874,2267301412,228543982.32960001,1177574,2912947,3501734,2324160,3.21096763,2.44676,2.65265981,1.535738
DOGEUSDT,1780274400000,2026-06-01 00:40:00,2026-06-01 09:40:00,0.10078,0.10094,0.10072,0.10087,11198262,1128982.03082,2395,6073987,612296.98025,2270214359,228792203.10001999,949712,-1173918,-699062,-1648774,3.20441989,2.441945,2.6498124,1.229425
DOGEUSDT,1780274700000,2026-06-01 00:45:00,2026-06-01 09:45:00,0.10087,0.10111,0.10084,0.10096,21967209,2218731.77125,4372,12225876,1235027.31078,2269040441,228906789.95484424,2484543,884122,2126393.5,-358149.5,3.20378433,2.436634,2.65076387,1.185049
DOGEUSDT,1780275000000,2026-06-01 00:50:00,2026-06-01 09:50:00,0.10096,0.10111,0.10088,0.1009,8254086,833690.50698,2447,3063832,309521.42111,2269924563,229194283.12610999,-2126422,-754119,-1817330,309092,3.20613888,2.441285,2.6486414,1.255486
DOGEUSDT,1780275300000,2026-06-01 00:55:00,2026-06-01 09:55:00,0.1009,0.10094,0.10081,0.1009,6483323,654082.90204,2094,2963335,298939.98127,2269170444,228936606.09516001,-556653,-239309,-517635.5,39017.5,3.20140751,2.43874,2.65270319,0.590499
DOGEUSDT,1780275600000,2026-06-01 01:00:00,2026-06-01 10:00:00,0.1009,0.10095,0.10072,0.10079,12208851,1230790.20229,4181,5342445,538572.01353,2268931135,228957840.83285001,-1523961,-1440044,-2202024.5,-678063.5,3.20167645,2.439187,2.6512669,0.840932
DOGEUSDT,1780275900000,2026-06-01 01:05:00,2026-06-01 10:05:00,0.10079,0.10087,0.10056,0.10061,8905400,896876.35968,3174,3678680,370510.01471,2267491091,228519021.94599095,-1548040,-351689,-1125709,422331,3.20261657,2.435301,2.65322581,0.778038
DOGEUSDT,1780276200000,2026-06-01 01:10:00,2026-06-01 10:10:00,0.10061,0.10071,0.10054,0.1006,8656842,871164.57282,2728,4581926,461074.9304,2267139402,228096895.23521999,507010,-650186,-396681,-903691,3.20265279,2.436376,2.64988353,0.705723
DOGEUSDT,1780276500000,2026-06-01 01:15:00,2026-06-01 10:15:00,0.1006,0.10072,0.10051,0.10056,6921456,696429.05788,2454,3416835,343796.55026,2266489216,228053124.9937728,-87786,-726235,-770128,-682342,3.19748322,2.435111,2.64506891,1.125699
DOGEUSDT,1780276800000,2026-06-01 01:20:00,2026-06-01 10:20:00,0.10056,0.1007,0.10053,0.10057,6919840,696178.45485,2308,2763442,278017.58406,2265762981,227824348.32282424,-1392956,41892,-654586,738370,3.19380235,2.436363,2.64016437,0.991298
DOGEUSDT,1780277100000,2026-06-01 01:25:00,2026-06-01 10:25:00,0.10056,0.10056,0.10042,0.10046,9646801,969396.79101,2259,2911219,292588.13155,2265804873,227849338.02888,-3824363,-2786108,-4698289.5,-873926.5,3.19273275,2.441008,2.64126162,0.664836
DOGEUSDT,1780277400000,2026-06-01 01:30:00,2026-06-01 10:30:00,0.10047,0.10053,0.10037,0.10052,7063164,709397.52621,2354,2796481,280880.35144,2263018765,227355130.69360629,-1470202,-440651,-1175752,294450,3.18846154,2.435442,2.63994286,0.432306
