symbol,funding_time,datetime_utc,datetime_kst,funding_rate,mark_price
DOGEUSDT,1756684800000,2025-09-01 00:00:00,2025-09-01 09:00:00,0.0000989,
DOGEUSDT,1756713600000,2025-09-01 08:00:00,2025-09-01 17:00:00,0.00005901,
DOGEUSDT,1756742400001,2025-09-01 16:00:00,2025-09-02 01:00:00,0.0001,
DOGEUSDT,1756771200000,2025-09-02 00:00:00,2025-09-02 09:00:00,0.00000992,
DOGEUSDT,1756800000005,2025-09-02 08:00:00,2025-09-02 17:00:00,0.0001,
DOGEUSDT,1756828800007,2025-09-02 16:00:00,2025-09-03 01:00:00,0.00009922,
DOGEUSDT,1756857600006,2025-09-03 00:00:00,2025-09-03 09:00:00,0.0001,
DOGEUSDT,1756886400002,2025-09-03 08:00:00,2025-09-03 17:00:00,0.0001,
DOGEUSDT,1756915200002,2025-09-03 16:00:00,2025-09-04 01:00:00,0.0001,
DOGEUSDT,1756944000002,2025-09-04 00:00:00,2025-09-04 09:00:00,0.0001,
DOGEUSDT,1756972800000,2025-09-04 08:00:00,2025-09-04 17:00:00,0.0000584,
DOGEUSDT,1757001600000,2025-09-04 16:00:00,2025-09-05 01:00:00,0.00002616,
DOGEUSDT,1757030400001,2025-09-05 00:00:00,2025-09-05 09:00:00,0.00001315,
DOGEUSDT,1757059200006,2025-09-05 08:00:00,2025-09-05 17:00:00,0.0001,
DOGEUSDT,1757088000000,2025-09-05 16:00:00,2025-09-06 01:00:00,0.0000907,
DOGEUSDT,1757116800000,2025-09-06 00:00:00,2025-09-06 09:00:00,0.0001,
DOGEUSDT,1757145600005,2025-09-06 08:00:00,2025-09-06 17:00:00,0.00008947,
DOGEUSDT,1757174400000,2025-09-06 16:00:00,2025-09-07 01:00:00,-0.00002299,
DOGEUSDT,1757203200000,2025-09-07 00:00:00,2025-09-07 09:00:00,-0.00000056,
DOGEUSDT,1757232000000,2025-09-07 08:00:00,2025-09-07 17:00:00,0.0001,
DOGEUSDT,1757260800000,2025-09-07 16:00:00,2025-09-08 01:00:00,0.0001,
DOGEUSDT,1757289600007,2025-09-08 00:00:00,2025-09-08 09:00:00,0.00009278,
DOGEUSDT,1757318400000,2025-09-08 08:00:00,2025-09-08 17:00:00,0.00008476,
DOGEUSDT,1757347200000,2025-09-08 16:00:00,2025-09-09 01:00:00,0.0001,
DOGEUSDT,1757376000000,2025-09-09 00:00:00,2025-09-09 09:00:00,0.0001,
DOGEUSDT,1757404800000,2025-09-09 08:00:00,2025-09-09 17:00:00,0.0001,
DOGEUSDT,1757433600000,2025-09-09 16:00:00,2025-09-10 01:00:00,0.0001,
DOGEUSDT,1757462400000,2025-09-10 00:00:00,2025-09-10 09:00:00,0.00004374,
DOGEUSDT,1757491200002,2025-09-10 08:00:00,2025-09-10 17:00:00,0.00005444,
DOGEUSDT,1757520000000,2025-09-10 16:00:00,2025-09-11 01:00:00,0.0001,
DOGEUSDT,1757548800000,2025-09-11 00:00:00,2025-09-11 09:00:00,0.00006962,
DOGEUSDT,1757577600000,2025-09-11 08:00:00,2025-09-11 17:00:00,0.0001,
DOGEUSDT,1757606400001,2025-09-11 16:00:00,2025-09-12 01:00:00,0.0000114,
DOGEUSDT,1757635200002,2025-09-12 00:00:00,2025-09-12 09:00:00,0.0000604,
DOGEUSDT,1757664000001,2025-09-12 08:00:00,2025-09-12 17:00:00,0.0001,
DOGEUSDT,1757692800005,2025-09-12 16:00:00,2025-09-13 01:00:00,0.0001,
DOGEUSDT,1757721600005,2025-09-13 00:00:00,2025-09-13 09:00:00,0.0001,
DOGEUSDT,1757750400002,2025-09-13 08:00:00,2025-09-13 17:00:00,0.0001,
DOGEUSDT,1757779200000,2025-09-13 16:00:00,2025-09-14 01:00:00,0.0001,
DOGEUSDT,1757808000006,2025-09-14 00:00:00,2025-09-14 09:00:00,0.0001,
DOGEUSDT,1757836800000,2025-09-14 08:00:00,2025-09-14 17:00:00,0.0001,
DOGEUSDT,1757865600001,2025-09-14 16:00:00,2025-09-15 01:00:00,0.0001,
DOGEUSDT,1757894400006,2025-09-15 00:00:00,2025-09-15 09:00:00,0.0001,
DOGEUSDT,1757923200002,2025-09-15 08:00:00,2025-09-15 17:00:00,0.0001,
DOGEUSDT,1757952000001,2025-09-15 16:00:00,2025-09-16 01:00:00,0.00005651,
DOGEUSDT,1757980800001,2025-09-16 00:00:00,2025-09-16 09:00:00,0.00000187,
DOGEUSDT,1758009600000,2025-09-16 08:00:00,2025-09-16 17:00:00,0.0001,
DOGEUSDT,1758038400000,2025-09-16 16:00:00,2025-09-17 01:00:00,0.0000246,
DOGEUSDT,1758067200001,2025-09-17 00:00:00,2025-09-17 09:00:00,-0.00002969,
DOGEUSDT,1758096000000,2025-09-17 08:00:00,2025-09-17 17:00:00,0.00005728,
DOGEUSDT,1758124800003,2025-09-17 16:00:00,2025-09-18 01:00:00,0.00003869,
DOGEUSDT,1758153600006,2025-09-18 00:00:00,2025-09-18 09:00:00,0.00002687,
DOGEUSDT,1758182400002,2025-09-18 08:00:00,2025-09-18 17:00:00,0.00009133,
DOGEUSDT,1758211200000,2025-09-18 16:00:00,2025-09-19 01:00:00,0.00004652,
DOGEUSDT,1758240000000,2025-09-19 00:00:00,2025-09-19 09:00:00,0.00008947,
DOGEUSDT,1758268800005,2025-09-19 08:00:00,2025-09-19 17:00:00,0.0001,
DOGEUSDT,1758297600000,2025-09-19 16:00:00,2025-09-20 01:00:00,0.00009696,
DOGEUSDT,1758326400000,2025-09-20 00:00:00,2025-09-20 09:00:00,-0.00000487,
DOGEUSDT,1758355200000,2025-09-20 08:00:00,2025-09-20 17:00:00,0.00004131,
DOGEUSDT,1758384000002,2025-09-20 16:00:00,2025-09-21 01:00:00,0.00002204,
DOGEUSDT,1758412800000,2025-09-21 00:00:00,2025-09-21 09:00:00,0.00000941,
DOGEUSDT,1758441600000,2025-09-21 08:00:00,2025-09-21 17:00:00,0.00004324,
DOGEUSDT,1758470400000,2025-09-21 16:00:00,2025-09-22 01:00:00,0.00008203,
DOGEUSDT,1758499200005,2025-09-22 00:00:00,2025-09-22 09:00:00,0.00002913,
DOGEUSDT,1758528000003,2025-09-22 08:00:00,2025-09-22 17:00:00,-0.00000948,
DOGEUSDT,1758556800000,2025-09-22 16:00:00,2025-09-23 01:00:00,-0.00002725,
DOGEUSDT,1758585600000,2025-09-23 00:00:00,2025-09-23 09:00:00,0.00002411,
DOGEUSDT,1758614400001,2025-09-23 08:00:00,2025-09-23 17:00:00,0.00006534,
DOGEUSDT,1758643200000,2025-09-23 16:00:00,2025-09-24 01:00:00,0.00002219,
DOGEUSDT,1758672000003,2025-09-24 00:00:00,2025-09-24 09:00:00,0.00008144,
DOGEUSDT,1758700800001,2025-09-24 08:00:00,2025-09-24 17:00:00,0.00008018,
DOGEUSDT,1758729600002,2025-09-24 16:00:00,2025-09-25 01:00:00,0.00000873,
DOGEUSDT,1758758400000,2025-09-25 00:00:00,2025-09-25 09:00:00,0.00004,
DOGEUSDT,1758787200001,2025-09-25 08:00:00,2025-09-25 17:00:00,-0.00001303,
DOGEUSDT,1758816000000,2025-09-25 16:00:00,2025-09-26 01:00:00,0.00002999,
DOGEUSDT,1758844800000,2025-09-26 00:00:00,2025-09-26 09:00:00,0.00003908,
DOGEUSDT,1758873600000,2025-09-26 08:00:00,2025-09-26 17:00:00,0.00005649,
DOGEUSDT,1758902400008,2025-09-26 16:00:00,2025-09-27 01:00:00,0.0001,
DOGEUSDT,1758931200000,2025-09-27 00:00:00,2025-09-27 09:00:00,0.00006492,
DOGEUSDT,1758960000010,2025-09-27 08:00:00,2025-09-27 17:00:00,0.0001,
DOGEUSDT,1758988800003,2025-09-27 16:00:00,2025-09-28 01:00:00,0.0001,
DOGEUSDT,1759017600000,2025-09-28 00:00:00,2025-09-28 09:00:00,0.0000758,
DOGEUSDT,1759046400000,2025-09-28 08:00:00,2025-09-28 17:00:00,0.0000148,
DOGEUSDT,1759075200000,2025-09-28 16:00:00,2025-09-29 01:00:00,0.00002725,
