symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume
DOGEUSDT,1775001600000,2026-04-01 00:00:00,2026-04-01 09:00:00,0.09232,0.09239,0.09216,0.09227,1864369,171991.49995
DOGEUSDT,1775001900000,2026-04-01 00:05:00,2026-04-01 09:05:00,0.09227,0.09227,0.09218,0.0922,583332,53799.85503
DOGEUSDT,1775002200000,2026-04-01 00:10:00,2026-04-01 09:10:00,0.09219,0.0923,0.09218,0.09218,1229492,113406.60684
DOGEUSDT,1775002500000,2026-04-01 00:15:00,2026-04-01 09:15:00,0.09219,0.09233,0.09216,0.09219,627947,57939.41677
DOGEUSDT,1775002800000,2026-04-01 00:20:00,2026-04-01 09:20:00,0.09219,0.09227,0.09205,0.09208,769523,70898.77191
DOGEUSDT,1775003100000,2026-04-01 00:25:00,2026-04-01 09:25:00,0.09208,0.09222,0.09207,0.09219,2648035,244130.2817
DOGEUSDT,1775003400000,2026-04-01 00:30:00,2026-04-01 09:30:00,0.0922,0.09222,0.09202,0.09212,2099085,193398.97405
DOGEUSDT,1775003700000,2026-04-01 00:35:00,2026-04-01 09:35:00,0.09212,0.09214,0.09205,0.09208,443694,40860.09087
DOGEUSDT,1775004000000,2026-04-01 00:40:00,2026-04-01 09:40:00,0.09207,0.09222,0.09207,0.09222,575355,53022.80003
DOGEUSDT,1775004300000,2026-04-01 00:45:00,2026-04-01 09:45:00,0.09222,0.0924,0.09214,0.09238,5815226,536315.2136
DOGEUSDT,1775004600000,2026-04-01 00:50:00,2026-04-01 09:50:00,0.09238,0.09278,0.09238,0.0926,4339897,401819.11375
DOGEUSDT,1775004900000,2026-04-01 00:55:00,2026-04-01 09:55:00,0.09259,0.09266,0.09255,0.09258,1420725,131550.28784
DOGEUSDT,1775005200000,2026-04-01 01:00:00,2026-04-01 10:00:00,0.09259,0.09264,0.09249,0.09263,3711714,343573.26061
DOGEUSDT,1775005500000,2026-04-01 01:05:00,2026-04-01 10:05:00,0.09262,0.09263,0.09243,0.09259,1539653,142438.01064
DOGEUSDT,1775005800000,2026-04-01 01:10:00,2026-04-01 10:10:00,0.09258,0.09264,0.09248,0.09255,1809946,167572.4532
DOGEUSDT,1775006100000,2026-04-01 01:15:00,2026-04-01 10:15:00,0.09255,0.09255,0.09227,0.09234,1280630,118341.30492
DOGEUSDT,1775006400000,2026-04-01 01:20:00,2026-04-01 10:20:00,0.09235,0.09235,0.09219,0.09221,966159,89143.59249
DOGEUSDT,1775006700000,2026-04-01 01:25:00,2026-04-01 10:25:00,0.09222,0.09223,0.0921,0.0921,1183499,109048.6552
DOGEUSDT,1775007000000,2026-04-01 01:30:00,2026-04-01 10:30:00,0.09211,0.09217,0.09178,0.09187,3545033,325844.30623
DOGEUSDT,1775007300000,2026-04-01 01:35:00,2026-04-01 10:35:00,0.09188,0.09203,0.09174,0.09183,2766150,254133.48017
DOGEUSDT,1775007600000,2026-04-01 01:40:00,2026-04-01 10:40:00,0.09182,0.09196,0.09182,0.09195,1942250,178415.78376
DOGEUSDT,1775007900000,2026-04-01 01:45:00,2026-04-01 10:45:00,0.09194,0.09194,0.09183,0.09184,1412788,129776.17622
DOGEUSDT,1775008200000,2026-04-01 01:50:00,2026-04-01 10:50:00,0.09184,0.092,0.09183,0.09196,1758025,161588.28115
DOGEUSDT,1775008500000,2026-04-01 01:55:00,2026-04-01 10:55:00,0.09196,0.09202,0.09181,0.09184,962744,88500.75375
DOGEUSDT,1775008800000,2026-04-01 02:00:00,2026-04-01 11:00:00,0.09183,0.092,0.09179,0.09199,1328156,122020.29342
DOGEUSDT,1775009100000,2026-04-01 02:05:00,2026-04-01 11:05:00,0.092,0.09212,0.09193,0.09207,925790,85214.29952
DOGEUSDT,1775009400000,2026-04-01 02:10:00,2026-04-01 11:10:00,0.09206,0.09208,0.09185,0.09201,1877810,172681.82131
DOGEUSDT,1775009700000,2026-04-01 02:15:00,2026-04-01 11:15:00,0.09201,0.09213,0.0919,0.09206,776851,71475.56893
DOGEUSDT,1775010000000,2026-04-01 02:20:00,2026-04-01 11:20:00,0.09205,0.09209,0.09192,0.09197,538711,49567.08398
DOGEUSDT,1775010300000,2026-04-01 02:25:00,2026-04-01 11:25:00,0.09197,0.09197,0.0916,0.09168,3169348,290690.42729
DOGEUSDT,1775010600000,2026-04-01 02:30:00,2026-04-01 11:30:00,0.09168,0.09182,0.09164,0.09164,1030731,94560.64187
DOGEUSDT,1775010900000,2026-04-01 02:35:00,2026-04-01 11:35:00,0.09164,0.09183,0.09164,0.09177,817939,75046.22791
DOGEUSDT,1775011200000,2026-04-01 02:40:00,2026-04-01 11:40:00,0.09177,0.09186,0.09177,0.09181,337716,31009.84488
DOGEUSDT,1775011500000,2026-04-01 02:45:00,2026-04-01 11:45:00,0.0918,0.09189,0.09178,0.09179,1053937,96805.91741
DOGEUSDT,1775011800000,2026-04-01 02:50:00,2026-04-01 11:50:00,0.09179,0.09186,0.09179,0.09184,643024,59048.72743
DOGEUSDT,1775012100000,2026-04-01 02:55:00,2026-04-01 11:55:00,0.09185,0.09186,0.09173,0.09177,2051310,188253.17507
DOGEUSDT,1775012400000,2026-04-01 03:00:00,2026-04-01 12:00:00,0.09178,0.092,0.09178,0.092,1227884,112803.93665
DOGEUSDT,1775012700000,2026-04-01 03:05:00,2026-04-01 12:05:00,0.09199,0.09263,0.09199,0.09254,2731560,252471.45054
DOGEUSDT,1775013000000,2026-04-01 03:10:00,2026-04-01 12:10:00,0.09254,0.09254,0.09235,0.09236,1595482,147453.05713
DOGEUSDT,1775013300000,2026-04-01 03:15:00,2026-04-01 12:15:00,0.09236,0.09237,0.09223,0.09225,583491,53856.5095
DOGEUSDT,1775013600000,2026-04-01 03:20:00,2026-04-01 12:20:00,0.09225,0.09231,0.0922,0.09225,959377,88522.68502
DOGEUSDT,1775013900000,2026-04-01 03:25:00,2026-04-01 12:25:00,0.09225,0.09225,0.09216,0.09221,2748244,253424.86999
DOGEUSDT,1775014200000,2026-04-01 03:30:00,2026-04-01 12:30:00,0.09222,0.09234,0.09215,0.09215,1082548,99868.47594
DOGEUSDT,1775014500000,2026-04-01 03:35:00,2026-04-01 12:35:00,0.09215,0.09218,0.09211,0.09217,1675923,154435.73636
DOGEUSDT,1775014800000,2026-04-01 03:40:00,2026-04-01 12:40:00,0.09216,0.09234,0.09213,0.09229,1724020,159003.76455
DOGEUSDT,1775015100000,2026-04-01 03:45:00,2026-04-01 12:45:00,0.0923,0.09256,0.0923,0.09245,2873255,265621.12256
DOGEUSDT,1775015400000,2026-04-01 03:50:00,2026-04-01 12:50:00,0.09245,0.09248,0.09233,0.0924,1871202,172881.02964
DOGEUSDT,1775015700000,2026-04-01 03:55:00,2026-04-01 12:55:00,0.0924,0.09248,0.09238,0.09246,1411658,130480.21289
DOGEUSDT,1775016000000,2026-04-01 04:00:00,2026-04-01 13:00:00,0.09246,0.0926,0.09246,0.09249,1720202,159163.42743
DOGEUSDT,1775016300000,2026-04-01 04:05:00,2026-04-01 13:05:00,0.09249,0.09252,0.09234,0.09235,1083083,100108.57309
DOGEUSDT,1775016600000,2026-04-01 04:10:00,2026-04-01 13:10:00,0.09236,0.09239,0.09228,0.09231,1530246,141297.176
DOGEUSDT,1775016900000,2026-04-01 04:15:00,2026-04-01 13:15:00,0.0923,0.09236,0.09224,0.09235,643081,59356.30278
