symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta
ETHUSDT,1772323200000,2026-03-01 00:00:00,2026-03-01 09:00:00,1963.48,1968.6,1963.15,1966.39,17814.756,35018722.24533,30976,9059.778,17810769.44739,1790388.773,3515821144.88147545,304.8,4085.552,4237.952,3933.152
ETHUSDT,1772323500000,2026-03-01 00:05:00,2026-03-01 09:05:00,1966.39,1966.4,1958.45,1959.51,11522.004,22603455.03689,22003,4719.42,9258198.86916,1794474.325,3528901866.67584896,-2083.164,-1412.942,-2454.524,-371.36
ETHUSDT,1772323800000,2026-03-01 00:10:00,2026-03-01 09:10:00,1959.51,1961.37,1959.07,1961.34,6285.187,12321257.90648,14264,2632.323,5160805.03032,1793061.383,3513539641.21615982,-1020.541,-191.018,-701.2885,319.2525
ETHUSDT,1772324100000,2026-03-01 00:15:00,2026-03-01 09:15:00,1961.34,1963,1959.09,1959.8,5596.729,10978418.53308,13379,2139.684,4197713.95921,1792870.365,3516281276.82751465,-1317.361,-221.904,-880.5845,436.7765
ETHUSDT,1772324400000,2026-03-01 00:20:00,2026-03-01 09:20:00,1959.81,1963.85,1959.61,1961.07,3624.016,7107114.16702,11572,1559.637,3058731.24038,1792648.461,3513276450.19362497,-504.742,-243.897,-496.268,8.474
ETHUSDT,1772324700000,2026-03-01 00:25:00,2026-03-01 09:25:00,1961.07,1961.57,1956.68,1957.57,11578.147,22673884.65339,17561,5949.778,11651650.33705,1792404.564,3515201384.22290421,321.409,-306.354,-145.6495,-467.0585
ETHUSDT,1772325000000,2026-03-01 00:30:00,2026-03-01 09:30:00,1957.58,1960.66,1956.12,1957.19,7836.539,15344972.61009,15214,3217.147,6299473.21398,1792098.21,3508286390.60094786,-1402.245,752.912,51.7895,1454.0345
ETHUSDT,1772325300000,2026-03-01 00:35:00,2026-03-01 09:35:00,1957.19,1960,1957.19,1957.68,5913.448,11582875.0188,13798,2279.784,4465365.98806,1792851.122,3509070719.05002546,-1353.88,115.486,-561.454,792.426
ETHUSDT,1772325600000,2026-03-01 00:40:00,2026-03-01 09:40:00,1957.68,1959.15,1953.47,1955.36,17834.878,34874356.90913,25525,7583.688,14828569.72161,1792966.608,3510251455.63825607,-2667.502,-2675.232,-4008.983,-1341.481
ETHUSDT,1772325900000,2026-03-01 00:45:00,2026-03-01 09:45:00,1955.36,1957.82,1954.71,1955.98,7708.478,15079711.88229,16341,3245.173,6348639.95885,1790291.376,3501362650.05353308,-1218.132,-936.853,-1545.919,-327.787
ETHUSDT,1772326200000,2026-03-01 00:50:00,2026-03-01 09:50:00,1955.98,1963.28,1955.9,1962.81,11274.111,22093973.07836,18560,6900.104,13522845.85493,1789354.523,3500281637.25690985,2526.097,-1007.516,255.5325,-2270.5645
ETHUSDT,1772326500000,2026-03-01 00:55:00,2026-03-01 09:55:00,1962.81,1964.12,1961.35,1961.67,8102.66,15902450.14444,13883,3393.685,6660445.52999,1788347.007,3510167505.33960009,-1315.29,-146.705,-804.35,510.94
ETHUSDT,1772326800000,2026-03-01 01:00:00,2026-03-01 10:00:00,1961.66,1961.93,1954.63,1954.63,11243.716,22021612.98317,20639,5010.84,9813714.05976,1788200.302,3508025840.56532383,-1222.036,-4.847,-615.865,606.171
ETHUSDT,1772327100000,2026-03-01 01:05:00,2026-03-01 10:05:00,1954.63,1959.25,1952.8,1953.15,10063.403,19680641.62048,20526,3683.657,7204908.06282,1788195.455,3496393449.58650255,-2696.089,-1060.039,-2408.0835,288.0055
ETHUSDT,1772327400000,2026-03-01 01:10:00,2026-03-01 10:10:00,1953.16,1956.23,1944.77,1948.02,44355.002,86413872.92736,54088,16744.268,32626309.36597,1787135.416,3490793736.71863985,-10866.466,-6315.776,-11749.009,-882.543
ETHUSDT,1772327700000,2026-03-01 01:15:00,2026-03-01 10:15:00,1948.03,1948.46,1942.42,1947.34,30051.826,58477169.62548,45197,13499.824,26268535.4087,1780819.64,3469179124.29120016,-3052.178,161.918,-1364.171,1688.007
