symbol,funding_time,datetime_utc,datetime_kst,funding_rate,mark_price
ETHUSDT,1764547200000,2025-12-01 00:00:00,2025-12-01 09:00:00,0.00005374,
ETHUSDT,1764576000004,2025-12-01 08:00:00,2025-12-01 17:00:00,0.00007757,
ETHUSDT,1764604800000,2025-12-01 16:00:00,2025-12-02 01:00:00,-0.00002535,
ETHUSDT,1764633600004,2025-12-02 00:00:00,2025-12-02 09:00:00,0.00006949,
ETHUSDT,1764662400000,2025-12-02 08:00:00,2025-12-02 17:00:00,0.00005552,
ETHUSDT,1764691200000,2025-12-02 16:00:00,2025-12-03 01:00:00,0.00004147,
ETHUSDT,1764720000000,2025-12-03 00:00:00,2025-12-03 09:00:00,0.00004698,
ETHUSDT,1764748800000,2025-12-03 08:00:00,2025-12-03 17:00:00,0.00001107,
ETHUSDT,1764777600005,2025-12-03 16:00:00,2025-12-04 01:00:00,0.00005015,
ETHUSDT,1764806400012,2025-12-04 00:00:00,2025-12-04 09:00:00,0.00006305,
ETHUSDT,1764835200000,2025-12-04 08:00:00,2025-12-04 17:00:00,0.0001,
ETHUSDT,1764864000011,2025-12-04 16:00:00,2025-12-05 01:00:00,0.00009628,
ETHUSDT,1764892800000,2025-12-05 00:00:00,2025-12-05 09:00:00,0.00002405,
ETHUSDT,1764921600000,2025-12-05 08:00:00,2025-12-05 17:00:00,0.00009771,
ETHUSDT,1764950400010,2025-12-05 16:00:00,2025-12-06 01:00:00,0.00004884,
ETHUSDT,1764979200001,2025-12-06 00:00:00,2025-12-06 09:00:00,0.00004481,
ETHUSDT,1765008000001,2025-12-06 08:00:00,2025-12-06 17:00:00,0.00000455,
ETHUSDT,1765036800008,2025-12-06 16:00:00,2025-12-07 01:00:00,0.00003188,
ETHUSDT,1765065600000,2025-12-07 00:00:00,2025-12-07 09:00:00,0.00003716,
ETHUSDT,1765094400004,2025-12-07 08:00:00,2025-12-07 17:00:00,-0.00000974,
ETHUSDT,1765123200000,2025-12-07 16:00:00,2025-12-08 01:00:00,0.00001448,
