symbol,funding_time,datetime_utc,datetime_kst,funding_rate,mark_price
SOLUSDT,1754006400001,2025-08-01 00:00:00,2025-08-01 09:00:00,0.00004034,
SOLUSDT,1754035200003,2025-08-01 08:00:00,2025-08-01 17:00:00,-0.0000144,
SOLUSDT,1754064000000,2025-08-01 16:00:00,2025-08-02 01:00:00,0.00003852,
SOLUSDT,1754092800004,2025-08-02 00:00:00,2025-08-02 09:00:00,-0.00003851,
SOLUSDT,1754121600000,2025-08-02 08:00:00,2025-08-02 17:00:00,0.00003654,
SOLUSDT,1754150400000,2025-08-02 16:00:00,2025-08-03 01:00:00,0.00003981,
SOLUSDT,1754179200000,2025-08-03 00:00:00,2025-08-03 09:00:00,-0.00010062,
SOLUSDT,1754208000000,2025-08-03 08:00:00,2025-08-03 17:00:00,-0.0000592,
SOLUSDT,1754236800003,2025-08-03 16:00:00,2025-08-04 01:00:00,-0.00007571,
SOLUSDT,1754265600004,2025-08-04 00:00:00,2025-08-04 09:00:00,-0.00014534,
SOLUSDT,1754294400000,2025-08-04 08:00:00,2025-08-04 17:00:00,-0.00006297,
SOLUSDT,1754323200002,2025-08-04 16:00:00,2025-08-05 01:00:00,-0.00006458,
SOLUSDT,1754352000000,2025-08-05 00:00:00,2025-08-05 09:00:00,-0.00003577,
SOLUSDT,1754380800000,2025-08-05 08:00:00,2025-08-05 17:00:00,-0.00002117,
SOLUSDT,1754409600000,2025-08-05 16:00:00,2025-08-06 01:00:00,-0.00004816,
SOLUSDT,1754438400005,2025-08-06 00:00:00,2025-08-06 09:00:00,-0.0000684,
SOLUSDT,1754467200000,2025-08-06 08:00:00,2025-08-06 17:00:00,-0.00003584,
SOLUSDT,1754496000000,2025-08-06 16:00:00,2025-08-07 01:00:00,0.0000184,
SOLUSDT,1754524800003,2025-08-07 00:00:00,2025-08-07 09:00:00,0.0001,
SOLUSDT,1754553600002,2025-08-07 08:00:00,2025-08-07 17:00:00,0.00001246,
SOLUSDT,1754582400002,2025-08-07 16:00:00,2025-08-08 01:00:00,0.00004431,
SOLUSDT,1754611200002,2025-08-08 00:00:00,2025-08-08 09:00:00,0.00006422,
