symbol,funding_time,datetime_utc,datetime_kst,funding_rate,mark_price
XRPUSDT,1759276800000,2025-10-01 00:00:00,2025-10-01 09:00:00,0.0001,
XRPUSDT,1759305600000,2025-10-01 08:00:00,2025-10-01 17:00:00,0.00009657,
XRPUSDT,1759334400000,2025-10-01 16:00:00,2025-10-02 01:00:00,0.00009436,
XRPUSDT,1759363200000,2025-10-02 00:00:00,2025-10-02 09:00:00,0.0001,
XRPUSDT,1759392000013,2025-10-02 08:00:00,2025-10-02 17:00:00,0.00004056,
XRPUSDT,1759420800000,2025-10-02 16:00:00,2025-10-03 01:00:00,0.00005817,
XRPUSDT,1759449600006,2025-10-03 00:00:00,2025-10-03 09:00:00,0.0001,
XRPUSDT,1759478400006,2025-10-03 08:00:00,2025-10-03 17:00:00,0.0001,
XRPUSDT,1759507200000,2025-10-03 16:00:00,2025-10-04 01:00:00,0.0000411,
XRPUSDT,1759536000001,2025-10-04 00:00:00,2025-10-04 09:00:00,0.0001,
XRPUSDT,1759564800000,2025-10-04 08:00:00,2025-10-04 17:00:00,0.0001,
XRPUSDT,1759593600000,2025-10-04 16:00:00,2025-10-05 01:00:00,0.0001,
XRPUSDT,1759622400000,2025-10-05 00:00:00,2025-10-05 09:00:00,0.0001,
XRPUSDT,1759651200003,2025-10-05 08:00:00,2025-10-05 17:00:00,0.0001,
XRPUSDT,1759680000009,2025-10-05 16:00:00,2025-10-06 01:00:00,0.0001,
XRPUSDT,1759708800004,2025-10-06 00:00:00,2025-10-06 09:00:00,0.00009341,
XRPUSDT,1759737600002,2025-10-06 08:00:00,2025-10-06 17:00:00,0.00007626,
XRPUSDT,1759766400004,2025-10-06 16:00:00,2025-10-07 01:00:00,0.00009135,
XRPUSDT,1759795200000,2025-10-07 00:00:00,2025-10-07 09:00:00,0.0001,
XRPUSDT,1759824000003,2025-10-07 08:00:00,2025-10-07 17:00:00,0.00007621,
XRPUSDT,1759852800000,2025-10-07 16:00:00,2025-10-08 01:00:00,0.00000838,
XRPUSDT,1759881600000,2025-10-08 00:00:00,2025-10-08 09:00:00,-0.00000024,
XRPUSDT,1759910400006,2025-10-08 08:00:00,2025-10-08 17:00:00,0.00003954,
XRPUSDT,1759939200002,2025-10-08 16:00:00,2025-10-09 01:00:00,0.00003718,
