symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume
XRPUSDT,1761955200000,2025-11-01 00:00:00,2025-11-01 09:00:00,2.5096,2.5106,2.502,2.5028,365209,915208.54548
XRPUSDT,1761955500000,2025-11-01 00:05:00,2025-11-01 09:05:00,2.5028,2.5039,2.5005,2.5025,190091,475663.74879
XRPUSDT,1761955800000,2025-11-01 00:10:00,2025-11-01 09:10:00,2.5026,2.5049,2.4997,2.5003,349934.4,875173.83877
XRPUSDT,1761956100000,2025-11-01 00:15:00,2025-11-01 09:15:00,2.5003,2.5015,2.4969,2.497,126144.4,315296.43157
XRPUSDT,1761956400000,2025-11-01 00:20:00,2025-11-01 09:20:00,2.497,2.4997,2.496,2.4997,172826.3,431654.1878
XRPUSDT,1761956700000,2025-11-01 00:25:00,2025-11-01 09:25:00,2.4998,2.5024,2.4964,2.5001,284816.3,711898.50471
XRPUSDT,1761957000000,2025-11-01 00:30:00,2025-11-01 09:30:00,2.5001,2.5001,2.4927,2.494,300607.9,750380.18611
XRPUSDT,1761957300000,2025-11-01 00:35:00,2025-11-01 09:35:00,2.494,2.4963,2.4936,2.4951,197934.2,493887.95127
XRPUSDT,1761957600000,2025-11-01 00:40:00,2025-11-01 09:40:00,2.4952,2.498,2.4951,2.4974,117264.1,292773.21163
XRPUSDT,1761957900000,2025-11-01 00:45:00,2025-11-01 09:45:00,2.4975,2.5042,2.4973,2.5035,397042.3,993504.97664
XRPUSDT,1761958200000,2025-11-01 00:50:00,2025-11-01 09:50:00,2.5036,2.5036,2.4986,2.4987,176611,441698.57536
XRPUSDT,1761958500000,2025-11-01 00:55:00,2025-11-01 09:55:00,2.4987,2.5016,2.4986,2.5005,69320.8,173329.9608
XRPUSDT,1761958800000,2025-11-01 01:00:00,2025-11-01 10:00:00,2.5005,2.5043,2.4998,2.5035,152588.3,381879.35752
XRPUSDT,1761959100000,2025-11-01 01:05:00,2025-11-01 10:05:00,2.5035,2.5061,2.5023,2.5031,108627.9,271993.03154
XRPUSDT,1761959400000,2025-11-01 01:10:00,2025-11-01 10:10:00,2.5031,2.5032,2.5,2.5001,105575.3,264081.10535
XRPUSDT,1761959700000,2025-11-01 01:15:00,2025-11-01 10:15:00,2.5,2.5016,2.4962,2.4978,182523.7,456035.746
XRPUSDT,1761960000000,2025-11-01 01:20:00,2025-11-01 10:20:00,2.4979,2.4985,2.4953,2.4981,67655.4,168913.68004
XRPUSDT,1761960300000,2025-11-01 01:25:00,2025-11-01 10:25:00,2.4981,2.5028,2.4966,2.5026,169971.6,424890.45763
XRPUSDT,1761960600000,2025-11-01 01:30:00,2025-11-01 10:30:00,2.5026,2.505,2.5003,2.5008,180429.1,451576.51194
XRPUSDT,1761960900000,2025-11-01 01:35:00,2025-11-01 10:35:00,2.5008,2.5017,2.4994,2.5002,79295.1,198259.27218
XRPUSDT,1761961200000,2025-11-01 01:40:00,2025-11-01 10:40:00,2.5002,2.5018,2.4995,2.5017,87202.5,218043.37501
XRPUSDT,1761961500000,2025-11-01 01:45:00,2025-11-01 10:45:00,2.5017,2.5025,2.4995,2.5002,192886.8,482406.61039
XRPUSDT,1761961800000,2025-11-01 01:50:00,2025-11-01 10:50:00,2.5002,2.5027,2.5,2.5008,70609.3,176604.74463
XRPUSDT,1761962100000,2025-11-01 01:55:00,2025-11-01 10:55:00,2.5007,2.5013,2.4996,2.4996,61648.5,154156.5903
XRPUSDT,1761962400000,2025-11-01 02:00:00,2025-11-01 11:00:00,2.4995,2.4995,2.4922,2.493,289854.1,723314.02144
XRPUSDT,1761962700000,2025-11-01 02:05:00,2025-11-01 11:05:00,2.4931,2.4941,2.4893,2.4903,322861.3,804305.4218
XRPUSDT,1761963000000,2025-11-01 02:10:00,2025-11-01 11:10:00,2.4902,2.4949,2.4901,2.4949,128830.4,321095.23849
XRPUSDT,1761963300000,2025-11-01 02:15:00,2025-11-01 11:15:00,2.4948,2.5029,2.4941,2.5028,155579.9,388975.95404
XRPUSDT,1761963600000,2025-11-01 02:20:00,2025-11-01 11:20:00,2.5027,2.5033,2.5001,2.5002,45091.9,112826.24355
